text,label
reported fire injury on arm,burns
burning sensation in chest,chest_pain
patient reports migraine symptoms with nausea,headache
person says painful pressure in chest,chest_pain
struggling to inhale,breathing_difficulty
trouble seeing in one or both eyes,stroke
patient reports sudden numbness in arm and face,stroke
someone mentioned head is hurting a lot suddenly,headache
reported chest pain spreading to arm,chest_pain
reported struggling to inhale,breathing_difficulty
person says hives all over body,allergic_reaction
reported wheezing and short of breath,breathing_difficulty
reported fire injury on arm,burns
reported ingested cleaning fluid,poisoning
reported head is hurting a lot suddenly,headache
someone mentioned burnt hand while cooking,burns
person says sudden numbness in arm and face,stroke
reported difficulty breathing after eating peanuts,allergic_reaction
someone mentioned possible food poisoning symptoms,poisoning
someone mentioned painful pressure in chest,chest_pain
patient reports vomiting after chemical exposure,poisoning
someone mentioned head is hurting a lot suddenly,headache
patient reports lost consciousness after falling,unconscious
patient reports vomiting after chemical exposure,poisoning
someone mentioned chest pain spreading to arm,chest_pain
gasping for air,breathing_difficulty
reported hives all over body,allergic_reaction
patient reports nose won't stop bleeding,bleeding
patient reports chest pain spreading to arm,chest_pain
not moving or reacting,unconscious
patient reports migraine symptoms with nausea,headache
patient reports skin is blistered and red,burns
person says individual fainted and is not responding,unconscious
patient reports painful pressure in chest,chest_pain
someone mentioned child swallowed unknown pills,poisoning
burning sensation in chest,chest_pain
patient reports trouble seeing in one or both eyes,stroke
patient reports burnt hand while cooking,burns
patient reports severe allergic reaction,allergic_reaction
reported blood pouring out after accident,bleeding
head is hurting a lot suddenly,headache
difficulty breathing after eating peanuts,allergic_reaction
reported bleeding heavily from leg,bleeding
someone mentioned bleeding heavily from leg,bleeding
reported hot water spilled on leg,burns
someone mentioned skin is blistered and red,burns
rash after bee sting,allergic_reaction
someone mentioned rash after bee sting,allergic_reaction
person says ingested cleaning fluid,poisoning
someone mentioned blood pouring out after accident,bleeding
person says trouble seeing in one or both eyes,stroke
patient reports swollen lips and itching,allergic_reaction
throbbing pain in the head,headache
someone mentioned burnt hand while cooking,burns
patient reports struggling to inhale,breathing_difficulty
reported burning sensation in chest,chest_pain
reported nose won't stop bleeding,bleeding
reported cut on hand is not stopping bleeding,bleeding
someone mentioned blood pouring out after accident,bleeding
person says gasping for air,breathing_difficulty
reported person suddenly collapsed with twitching,seizure
hot water spilled on leg,burns
person says chemical burn from cleaner,burns
reported vomiting after chemical exposure,poisoning
person collapsed suddenly,unconscious
vomiting after chemical exposure,poisoning
gasping for air,breathing_difficulty
person says chest pain spreading to arm,chest_pain
reported severe headache not going away,headache
person says throbbing pain in the head,headache
someone mentioned chest pain spreading to arm,chest_pain
someone mentioned severe allergic reaction,allergic_reaction
person says gasping for air,breathing_difficulty
person says severe headache not going away,headache
reported trouble seeing in one or both eyes,stroke
reported possible food poisoning symptoms,poisoning
reported head is hurting a lot suddenly,headache
patient reports sudden confusion and loss of balance,stroke
patient reports struggling to inhale,breathing_difficulty
person says severe blood loss from wound,bleeding
reported person suddenly collapsed with twitching,seizure
reported trouble seeing in one or both eyes,stroke
trouble seeing in one or both eyes,stroke
difficulty breathing after eating peanuts,allergic_reaction
patient reports fire injury on arm,burns
person says possible food poisoning symptoms,poisoning
reported hives all over body,allergic_reaction
patient reports muscle spasms and convulsions,seizure
severe allergic reaction,allergic_reaction
patient reports possible food poisoning symptoms,poisoning
patient reports slurred speech and drooping face,stroke
person says struggling to inhale,breathing_difficulty
reported fire injury on arm,burns
person says burning throat and nausea,poisoning
reported sudden numbness in arm and face,stroke
sudden sharp chest pain,chest_pain
person says sudden confusion and loss of balance,stroke
sudden numbness in arm and face,stroke
jerking movements noticed,seizure
burning sensation in chest,chest_pain
person says trouble seeing in one or both eyes,stroke
someone mentioned throbbing pain in the head,headache
patient reports difficulty breathing after eating peanuts,allergic_reaction
wheezing and short of breath,breathing_difficulty
someone mentioned vomiting after chemical exposure,poisoning
nose won't stop bleeding,bleeding
patient reports person suddenly collapsed with twitching,seizure
patient reports person collapsed suddenly,unconscious
patient reports unable to move one side of body,stroke
jerking movements noticed,seizure
patient reports gasping for air,breathing_difficulty
reported person is having a seizure,seizure
reported sudden sharp chest pain,chest_pain
someone mentioned hives all over body,allergic_reaction
reported cut on hand is not stopping bleeding,bleeding
reported person suddenly collapsed with twitching,seizure
wheezing and short of breath,breathing_difficulty
hives all over body,allergic_reaction
someone mentioned person collapsed suddenly,unconscious
reported person suddenly collapsed with twitching,seizure
person says throbbing pain in the head,headache
child swallowed unknown pills,poisoning
person says severe headache not going away,headache
someone mentioned possible food poisoning symptoms,poisoning
someone mentioned sudden sharp chest pain,chest_pain
sudden confusion and loss of balance,stroke
patient reports not breathing properly,breathing_difficulty
reported lost consciousness after falling,unconscious
reported sharp pain in forehead,headache
reported unable to move one side of body,stroke
patient reports sudden sharp chest pain,chest_pain
person says sudden numbness in arm and face,stroke
someone mentioned severe headache not going away,headache
someone mentioned wheezing and short of breath,breathing_difficulty
patient reports person collapsed suddenly,unconscious
someone mentioned muscle spasms and convulsions,seizure
reported painful pressure in chest,chest_pain
patient reports person collapsed suddenly,unconscious
someone mentioned difficulty breathing after eating peanuts,allergic_reaction
someone mentioned cut on hand is not stopping bleeding,bleeding
reported sudden confusion and loss of balance,stroke
patient reports migraine symptoms with nausea,headache
person says cut on hand is not stopping bleeding,bleeding
reported feeling tightness in chest,chest_pain
patient reports rash after bee sting,allergic_reaction
swollen lips and itching,allergic_reaction
person says trouble seeing in one or both eyes,stroke
person says hot water spilled on leg,burns
reported ingested cleaning fluid,poisoning
person says burning sensation in chest,chest_pain
reported sudden confusion and loss of balance,stroke
patient reports person is having a seizure,seizure
person says not breathing properly,breathing_difficulty
reported burning sensation in chest,chest_pain
person says migraine symptoms with nausea,headache
reported cut on hand is not stopping bleeding,bleeding
someone mentioned sudden confusion and loss of balance,stroke
patient reports burning sensation in chest,chest_pain
patient reports sudden confusion and loss of balance,stroke
patient reports burning throat and nausea,poisoning
reported slurred speech and drooping face,stroke
patient reports body shaking uncontrollably,seizure
reported hot water spilled on leg,burns
patient reports possible food poisoning symptoms,poisoning
person says chest pain spreading to arm,chest_pain
someone mentioned individual fainted and is not responding,unconscious
not moving or reacting,unconscious
jerking movements noticed,seizure
patient reports chemical burn from cleaner,burns
patient reports hot water spilled on leg,burns
patient reports jerking movements noticed,seizure
person collapsed suddenly,unconscious
person says bleeding heavily from leg,bleeding
patient reports vomiting after chemical exposure,poisoning
person says burning throat and nausea,poisoning
person says lost consciousness after falling,unconscious
chest pain spreading to arm,chest_pain
reported burnt hand while cooking,burns
person says migraine symptoms with nausea,headache
body shaking uncontrollably,seizure
reported skin is blistered and red,burns
patient reports hot water spilled on leg,burns
patient reports trouble seeing in one or both eyes,stroke
reported throbbing pain in the head,headache
burning throat and nausea,poisoning
person says migraine symptoms with nausea,headache
person says chemical burn from cleaner,burns
patient reports gasping for air,breathing_difficulty
burnt hand while cooking,burns
reported person collapsed suddenly,unconscious
someone mentioned muscle spasms and convulsions,seizure
reported not moving or reacting,unconscious
someone mentioned feeling tightness in chest,chest_pain
fire injury on arm,burns
reported vomiting after chemical exposure,poisoning
throbbing pain in the head,headache
burning throat and nausea,poisoning
someone mentioned rash after bee sting,allergic_reaction
someone mentioned cut on hand is not stopping bleeding,bleeding
person says slurred speech and drooping face,stroke
reported sleeping and not waking up,unconscious
person says not breathing properly,breathing_difficulty
patient reports individual fainted and is not responding,unconscious
person says rash after bee sting,allergic_reaction
person says migraine symptoms with nausea,headache
patient reports struggling to inhale,breathing_difficulty
person says possible food poisoning symptoms,poisoning
person says cut on hand is not stopping bleeding,bleeding
someone mentioned lost consciousness after falling,unconscious
blood pouring out after accident,bleeding
reported painful pressure in chest,chest_pain
patient reports skin is blistered and red,burns
someone mentioned blood pouring out after accident,bleeding
blood pouring out after accident,bleeding
person says sharp pain in forehead,headache
migraine symptoms with nausea,headache
someone mentioned skin is blistered and red,burns
patient reports vomiting after chemical exposure,poisoning
reported bleeding heavily from leg,bleeding
reported not breathing properly,breathing_difficulty
reported person is having a seizure,seizure
person says individual fainted and is not responding,unconscious
patient reports vomiting after chemical exposure,poisoning
patient reports sharp pain in forehead,headache
someone mentioned person suddenly collapsed with twitching,seizure
burning throat and nausea,poisoning
blood pouring out after accident,bleeding
reported individual fainted and is not responding,unconscious
vomiting after chemical exposure,poisoning
chemical burn from cleaner,burns
patient reports person collapsed suddenly,unconscious
possible food poisoning symptoms,poisoning
patient reports severe allergic reaction,allergic_reaction
patient reports sleeping and not waking up,unconscious
person says wheezing and short of breath,breathing_difficulty
